         619085 function calls (598864 primitive calls) in 0.381 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.003    0.001 typing.py:1(<module>)
    16852    0.003    0.000    0.003    0.000 ATNDeserializer.py:431(readInt)
        2    0.000    0.000    0.003    0.001 requests.py:1(<module>)
      794    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1426(_get_spec)
        1    0.000    0.000    0.002    0.002 platform.py:3(<module>)
33675/32765    0.002    0.000    0.002    0.000 {built-in method builtins.len}
     5587    0.001    0.000    0.002    0.000 sre_parse.py:254(get)
      587    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
        3    0.000    0.000    0.002    0.001 _compat.py:1(<module>)
3791/2947    0.001    0.000    0.002    0.000 typing.py:717(__hash__)
     1459    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:78(acquire)
        1    0.000    0.000    0.002    0.002 utils.py:5(<module>)
     1566    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1265(_path_importer_cache)
       28    0.001    0.000    0.002    0.000 __init__.py:313(namedtuple)
      622    0.001    0.000    0.002    0.000 _inspect.py:96(getargspec)
        2    0.000    0.000    0.002    0.001 _streams.py:1(<module>)
        1    0.000    0.000    0.002    0.002 defmatrix.py:1(<module>)
    75/57    0.000    0.000    0.002    0.000 copy.py:199(_deepcopy_list)
      784    0.001    0.000    0.002    0.000 enum.py:64(__setitem__)
      313    0.000    0.000    0.002    0.000 function_base.py:475(add_newdoc)
        1    0.000    0.000    0.002    0.002 sentinel_interp.py:1(<module>)
10107/10039    0.002    0.000    0.002    0.000 {method 'join' of 'str' objects}
     1036    0.001    0.000    0.002    0.000 inspect.py:2477(__init__)
        1    0.000    0.000    0.002    0.002 _add_newdocs.py:1(<module>)
        1    0.000    0.000    0.002    0.002 BufferedTokenStream.py:16(<module>)
     5410    0.001    0.000    0.002    0.000 sre_parse.py:164(__getitem__)
       56    0.000    0.000    0.002    0.000 interface.py:64(decorator_func)
        1    0.000    0.000    0.002    0.002 xfr.py:18(<module>)
       54    0.000    0.000    0.002    0.000 dataclasses.py:375(_create_fn)
     1123    0.000    0.000    0.002    0.000 typing.py:358(<genexpr>)
        1    0.000    0.000    0.002    0.002 stripe_object.py:1(<module>)
        1    0.000    0.000    0.002    0.002 config.py:17(<module>)
    26785    0.002    0.000    0.002    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.002    0.002 header.py:5(<module>)
        1    0.000    0.000    0.002    0.002 formparsers.py:1(<module>)
        1    0.000    0.000    0.002    0.002 rdata.py:18(<module>)
      742    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1010(path_stats)
     1459    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:103(release)
      794    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:629(spec_from_file_location)
        1    0.000    0.000    0.002    0.002 zone.py:18(<module>)
        1    0.000    0.000    0.002    0.002 Errors.py:7(<module>)
        1    0.000    0.000    0.002    0.002 tempfile.py:1(<module>)
        1    0.000    0.000    0.002    0.002 rrset.py:18(<module>)
     8073    0.001    0.000    0.002    0.000 {built-in method builtins.setattr}
      524    0.001    0.000    0.002    0.000 inspect.py:2760(__init__)
        1    0.000    0.000    0.002    0.002 api_requestor.py:1(<module>)
      872    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:151(__exit__)
     8192    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
     6875    0.002    0.000    0.002    0.000 sre_parse.py:233(__next)
      742    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:493(_classify_pyc)
        1    0.000    0.000    0.002    0.002 linalg.py:1(<module>)
